Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Growth hormone synthesis, secretion and action	6/119	1.703914696679832E-4	0.0023911136822845737	0	0	8.005134094440317	69.46384669638184	NRAS;CREB3L4;AKT1;EP300;PRKACA;SOS1
Chronic myeloid leukemia	5/76	1.7530526970122487E-4	0.0023911136822845737	0	0	10.559112249253094	91.32556866951651	RB1;NRAS;CCND1;AKT1;SOS1
Thyroid hormone signaling pathway	6/121	1.866235069100155E-4	0.0023911136822845737	0	0	7.865117822768005	67.533183760553	MED12;NRAS;CCND1;AKT1;EP300;PRKACA
FoxO signaling pathway	6/131	2.8701316535931015E-4	0.0033758964130929437	0	0	7.23224427480916	58.98605753078877	NRAS;CCND1;AKT1;EP300;ATM;SOS1
Pathways in cancer	12/531	2.9774728474939643E-4	0.0033758964130929437	0	0	3.5780809248554912	29.05138889846682	RB1;NRAS;CCND1;MSH3;PTCH1;CCDC6;AKT1;EP300;PRKACA;SOS1;NFE2L2;JAK1
Colorectal cancer	5/86	3.128879602378826E-4	0.0033758964130929437	0	0	9.25084175084175	74.65119746828569	NRAS;CCND1;MSH3;AKT1;SOS1
Insulin signaling pathway	6/137	3.650224028375826E-4	0.003649350291533556	0	0	6.898898665578929	54.60858994784325	NRAS;INPPL1;AKT1;TSC1;PRKACA;SOS1
Kaposi sarcoma-associated herpesvirus infection	7/193	3.738358835229496E-4	0.003649350291533556	0	0	5.696401985111662	44.954259493187216	RB1;NRAS;CCND1;AKT1;EP300;IRF9;JAK1
Signaling pathways regulating pluripotency of stem cells	6/143	4.587248752235203E-4	0.00427448179185553	0	0	6.594751211901711	50.694247776142	ACVR1;NRAS;AKT1;PAX6;ACVR2A;JAK1
Endometrial cancer	4/58	6.711761442269178E-4	0.005857589708818598	0	0	11.032581453634085	80.60932410457671	NRAS;CCND1;AKT1;SOS1
Longevity regulating pathway	5/102	6.857666000568115E-4	0.005857589708818598	0	0	7.718681661980631	56.23038921114598	NRAS;CREB3L4;AKT1;TSC1;PRKACA
JAK-STAT signaling pathway	6/162	8.835113509866526E-4	0.007244793078090551	0	0	5.785965942454492	40.6846352584029	CCND1;AKT1;EP300;SOS1;IRF9;JAK1
Hepatocellular carcinoma	6/168	0.0010665302666253798	0.008264364017619378	0	0	5.569974554707379	38.117255519797204	RB1;NRAS;CCND1;AKT1;SOS1;NFE2L2
Cholinergic synapse	5/113	0.0010884772120766985	0.008264364017619378	0	0	6.928661616161616	47.27408923551566	NRAS;CREB3L4;CHRM4;AKT1;PRKACA
Fc epsilon RI signaling pathway	4/68	0.0012221180270729339	0.008947649841069693	0	0	9.30404135338346	62.40378553441278	NRAS;AKT1;LCP2;SOS1
Renal cell carcinoma	4/69	0.0012905069068752076	0.009122548824462675	0	0	9.16043956043956	60.94184118303395	NRAS;AKT1;EP300;SOS1
Prolactin signaling pathway	4/70	0.0013615272880318104	0.009303769801550704	0	0	9.02118933697881	59.532165405906404	NRAS;CCND1;AKT1;SOS1
Melanoma	4/72	0.0015116759296353768	0.009996566631459751	0	0	8.754975674480319	56.85950781773877	RB1;NRAS;CCND1;AKT1
Cell cycle	5/124	0.0016446036735375574	0.010535742283599978	0	0	6.284695696460402	40.28650736459835	RB1;CCND1;EP300;ATM;TTK
Pancreatic cancer	4/76	0.0018458915931092589	0.011466902320830244	0	0	8.266917293233083	52.03853203365204	RB1;CCND1;AKT1;JAK1
Relaxin signaling pathway	5/129	0.001956589274021216	0.011797082387480862	0	0	6.029753176930596	37.60487217703131	NRAS;CREB3L4;AKT1;PRKACA;SOS1
Thyroid cancer	3/37	0.0020604136077316156	0.012068136845285175	0	0	13.05684811237928	80.754627931084	NRAS;CCND1;CCDC6
B cell receptor signaling pathway	4/81	0.002331600096062762	0.013277167213690728	0	0	7.72815154770042	46.84187610685815	NRAS;INPPL1;AKT1;SOS1
Apelin signaling pathway	5/137	0.0025428191008918808	0.01336610040212399	0	0	5.6620179063360885	33.827623675392765	NRAS;CCND1;AKT1;RRAS2;PRKACA
Autophagy	5/137	0.0025428191008918808	0.01336610040212399	0	0	5.6620179063360885	33.827623675392765	NRAS;AKT1;RRAS2;TSC1;PRKACA
Estrogen signaling pathway	5/137	0.0025428191008918808	0.01336610040212399	0	0	5.6620179063360885	33.827623675392765	NRAS;CREB3L4;AKT1;PRKACA;SOS1
Bladder cancer	3/41	0.002770980696747608	0.014201276070831492	0	0	11.680086410054988	68.77881930842557	RB1;NRAS;CCND1
Breast cancer	5/147	0.0034432712422562393	0.017216356211281196	0	0	5.260616730687153	29.83471093239739	RB1;NRAS;CCND1;AKT1;SOS1
Phospholipase D signaling pathway	5/148	0.0035444243390197064	0.017300166416643805	0	0	5.223564314473405	29.473332303748904	NRAS;AKT1;RRAS2;TSC1;SOS1
Gastric cancer	5/149	0.0036476959867852506	0.017390178541650612	0	0	5.187026515151516	29.118200918352414	RB1;NRAS;CCND1;AKT1;SOS1
cAMP signaling pathway	6/216	0.003768468622754834	0.017557637901471385	0	0	4.286368593238822	23.922594150810124	CREB3L4;PTCH1;AKT1;EP300;RRAS2;PRKACA
mTOR signaling pathway	5/154	0.004196695426946076	0.01911827916719879	0	0	5.011694122432377	27.43129661888379	NRAS;AKT1;TSC1;SLC3A2;SOS1
Cushing syndrome	5/155	0.004313195712420226	0.01922185045752492	0	0	4.9780303030303035	27.110732281625765	RB1;CCND1;CREB3L4;KCNA4;PRKACA
Choline metabolism in cancer	4/98	0.004630343508254803	0.020196179131749675	0	0	6.325067989121741	33.998026152786615	NRAS;AKT1;TSC1;SOS1
Melanogenesis	4/101	0.005152070525403527	0.022003634535577563	0	0	6.128517169211689	32.28721388482206	NRAS;CREB3L4;EP300;PRKACA
C-type lectin receptor signaling pathway	4/104	0.005711816697118179	0.02311769992684991	0	0	5.9437593984962405	30.700813896412754	NRAS;AKT1;RRAS2;IRF9
T cell receptor signaling pathway	4/104	0.005711816697118179	0.02311769992684991	0	0	5.9437593984962405	30.700813896412754	NRAS;AKT1;LCP2;SOS1
Wnt signaling pathway	5/166	0.005751232664728515	0.02311769992684991	0	0	4.6353284396762655	23.91060506644395	RNF43;CCND1;SOX17;EP300;PRKACA
Glucagon signaling pathway	4/107	0.006310762783396527	0.024878968665313233	0	0	5.769764216366158	29.22673328089625	CREB3L4;AKT1;EP300;PRKACA
Hedgehog signaling pathway	3/56	0.006688104830893242	0.025869084723266312	0	0	8.368065333708815	41.902457284620134	CCND1;PTCH1;PRKACA
AMPK signaling pathway	4/120	0.009386336824911318	0.03563331572420037	0	0	5.11978221415608	23.901704169760364	CCND1;CREB3L4;AKT1;TSC1
Cortisol synthesis and secretion	3/65	0.010079704994237014	0.037569809523974325	0	0	7.1500962927298986	32.87064635491551	CREB3L4;KCNA4;PRKACA
Long-term potentiation	3/67	0.010945988591868332	0.04002178853013275	0	0	6.925956156716418	31.269183771576184	NRAS;EP300;PRKACA
PI3K-Akt signaling pathway	7/354	0.011128009493744229	0.04002178853013275	0	0	3.028419419197517	13.622708702027575	NRAS;CCND1;CREB3L4;AKT1;TSC1;SOS1;JAK1
Osteoclast differentiation	4/127	0.011386047929877248	0.040243790096979926	0	0	4.826700898587934	21.60125569490247	AKT1;LCP2;IRF9;JAK1
Epstein-Barr virus infection	5/202	0.01278063787237476	0.0444073010819801	0	0	3.7813413321027536	16.485982387540524	RB1;CCND1;AKT1;IRF9;JAK1
Thyroid hormone synthesis	3/75	0.01483211449643231	0.05067639119614373	0	0	6.1539179104477615	25.913905552735145	CREB3L4;CANX;PRKACA
Fluid shear stress and atherosclerosis	4/139	0.015414745076517671	0.050968108720743914	0	0	4.394987468671679	18.3377808827662	ACVR1;AKT1;ACVR2A;NFE2L2
Measles	4/139	0.015414745076517671	0.050968108720743914	0	0	4.394987468671679	18.3377808827662	CCND1;AKT1;IRF9;JAK1
Regulation of actin cytoskeleton	5/218	0.01723575818707681	0.056084609973821364	0	0	3.4944515578318396	14.190160868540254	NRAS;ITGAM;CHRM4;RRAS2;SOS1
ErbB signaling pathway	3/85	0.02065421595711742	0.06615803548764174	0	0	5.400709865307609	20.953867577188593	NRAS;AKT1;SOS1
Ras signaling pathway	5/232	0.021892555109295726	0.06799960299099429	0	0	3.276598584968629	12.521877492609386	NRAS;AKT1;RRAS2;PRKACA;SOS1
Thermogenesis	5/232	0.021892555109295726	0.06799960299099429	0	0	3.276598584968629	12.521877492609386	NRAS;CREB3L4;TSC1;PRKACA;SOS1
Gap junction	3/88	0.02261208003646241	0.06918621503693723	0	0	5.209306409130816	19.739473709454856	NRAS;PRKACA;SOS1
PD-L1 expression and PD-1 checkpoint pathway in cancer	3/89	0.02328642263581697	0.0702017152991541	0	0	5.148472752516487	19.357664485303136	NRAS;AKT1;JAK1
Small cell lung cancer	3/92	0.025374593566132694	0.07538828523271307	0	0	4.97417407345296	18.275149662963504	RB1;CCND1;AKT1
GnRH signaling pathway	3/93	0.026092349009186874	0.0764133078126187	0	0	4.91865671641791	17.93397892933687	NRAS;PRKACA;SOS1
TGF-beta signaling pathway	3/94	0.02682094173253279	0.07744074725590454	0	0	4.864359521075939	17.602036565118887	ACVR1;EP300;ACVR2A
Fc gamma R-mediated phagocytosis	3/97	0.029071640992268544	0.0827734222696535	0	0	4.708399491902191	16.6582802828451	INPPL1;AKT1;ASAP2
Protein processing in endoplasmic reticulum	4/171	0.030169557324367807	0.08472272947253974	0	0	3.547071270991851	12.418019488609154	LMAN1;CANX;SEC31A;NFE2L2
Influenza A	4/172	0.030729215772499346	0.08474981643323616	0	0	3.5257787325456498	12.2786704847649	AKT1;EP300;IRF9;JAK1
AGE-RAGE signaling pathway in diabetic complications	3/100	0.03141944414110219	0.08474981643323616	0	0	4.562086474842284	15.786317107275496	NRAS;CCND1;AKT1
Progesterone-mediated oocyte maturation	3/100	0.03141944414110219	0.08474981643323616	0	0	4.562086474842284	15.786317107275496	AKT1;PRKACA;CPEB2
Tuberculosis	4/180	0.035427195555516766	0.09431915699845374	0	0	3.364149008885851	11.237184572454812	ITGAM;AKT1;EP300;JAK1
Vasopressin-regulated water reabsorption	2/44	0.03653758271108665	0.09602826225349696	0	0	6.991534391534391	23.137880991511924	CREB3L4;PRKACA
Insulin resistance	3/108	0.03815119297305024	0.09899993113259872	0	0	4.212793176972282	13.759817707081377	CREB3L4;AKT1;PPARGC1B
HIF-1 signaling pathway	3/109	0.03904040527630572	0.09923355182138896	0	0	4.172838637003661	13.533175577642174	AKT1;EP300;LTBR
Alcoholism	4/186	0.03920935462210978	0.09923355182138896	0	0	3.252251507890606	10.533522021234159	NRAS;CREB3L4;PRKACA;SOS1
Serotonergic synapse	3/113	0.042702128384694234	0.10546268906009353	0	0	4.020284938941655	12.677994746767068	GABRB3;NRAS;PRKACA
Chemokine signaling pathway	4/192	0.043213979907550513	0.10546268906009353	0	0	3.147496400575908	9.88814707941299	NRAS;AKT1;PRKACA;SOS1
Transcriptional misregulation in cancer	4/192	0.043213979907550513	0.10546268906009353	0	0	3.147496400575908	9.88814707941299	MYCN;ITGAM;ATM;MLLT1
Cocaine addiction	2/49	0.04443191457135611	0.1071593233779765	0	0	6.246178092986604	19.449332300761156	CREB3L4;PRKACA
Neurotrophin signaling pathway	3/119	0.048505650230492664	0.11562393368896506	0	0	3.8111811631497683	11.532919993407356	NRAS;AKT1;SOS1
Endocrine and other factor-regulated calcium reabsorption	2/53	0.05115731173617012	0.12054309087258476	0	0	5.755119825708061	17.109107109763784	PRKACA;AP2A2
MAPK signaling pathway	5/294	0.05195029258844371	0.12102056796171547	0	0	2.565534235084408	7.58748522187679	NRAS;AKT1;RRAS2;PRKACA;SOS1
Platelet activation	3/124	0.05362178814459791	0.12351086033306259	0	0	3.652769211792278	10.687271422978306	AKT1;LCP2;PRKACA
Regulation of lipolysis in adipocytes	2/55	0.05464832999763346	0.1244767516612762	0	0	5.53738644304682	16.096277708168266	AKT1;PRKACA
Rap1 signaling pathway	4/210	0.056560053505485514	0.1274155051497201	0	0	2.8698445141981166	8.243491508164466	NRAS;ITGAM;AKT1;LCP2
Human immunodeficiency virus 1 infection	4/212	0.058165498179351856	0.12960790355181662	0	0	2.841960670908039	8.083851733765433	NRAS;AKT1;AP1S1;ATM
Huntington disease	5/306	0.05964280258190454	0.13147069386333796	0	0	2.4617436826739154	6.9405953316050475	PSMB6;DNAH7;CREB3L4;EP300;AP2A2
Natural killer cell mediated cytotoxicity	3/131	0.061201116232082825	0.1317585865279131	0	0	3.451784048507463	9.642868884179663	NRAS;LCP2;SOS1
VEGF signaling pathway	2/59	0.06187247398652479	0.1317585865279131	0	0	5.14775828460039	14.324563423095396	NRAS;AKT1
Dopaminergic synapse	3/132	0.062322763434683265	0.1317585865279131	0	0	3.424852481777161	9.505433308627554	CREB3L4;AKT1;PRKACA
MicroRNAs in cancer	5/310	0.0623443067961345	0.1317585865279131	0	0	2.42896174863388	6.740570265445402	NRAS;CCND1;EP300;ATM;SOS1
GnRH secretion	2/64	0.07132783226986396	0.14920617974818481	0	0	4.73142174432497	12.493170896128214	NRAS;AKT1
Ubiquinone and other terpenoid-quinone biosynthesis	1/11	0.07283888870776588	0.1508280018696162	0	0	14.597794117647059	38.23899878007725	HPD
Apoptosis	3/142	0.07405729354598467	0.15181745176926856	0	0	3.1768495651240203	8.269073351265966	NRAS;AKT1;ATM
Spinocerebellar ataxia	3/143	0.07528137905654436	0.1527988386791247	0	0	3.153997867803838	8.157886339142358	ATXN2L;PSMB6;AKT1
Mitophagy	2/68	0.07920615196997925	0.15918883484162497	0	0	4.443771043771044	11.26807604276484	NRAS;RRAS2
Amphetamine addiction	2/69	0.0812166640320031	0.16164481676272463	0	0	4.37722498618021	10.989613512555014	CREB3L4;PRKACA
Central carbon metabolism in cancer	2/70	0.08324292430835176	0.16408461041550107	0	0	4.312636165577342	10.721179640609002	NRAS;AKT1
Adrenergic signaling in cardiomyocytes	3/150	0.08409835368725252	0.16419202386558826	0	0	3.002741395065489	7.43409192252291	CREB3L4;AKT1;PRKACA
Oxytocin signaling pathway	3/154	0.08932663208728094	0.16971940262156476	0	0	2.9226055154690127	7.0594238703328385	NRAS;CCND1;PRKACA
Inositol phosphate metabolism	2/73	0.08941314869819021	0.16971940262156476	0	0	4.1297861241523215	9.971317100218016	INPPL1;SYNJ2
p53 signaling pathway	2/73	0.08941314869819021	0.16971940262156476	0	0	4.1297861241523215	9.971317100218016	CCND1;ATM
Endocytosis	4/252	0.09523755255307763	0.17911649792092582	0	0	2.378729080766432	5.593298258504678	AGAP6;ASAP2;AP2A2;SMAP1
Leishmaniasis	2/77	0.09784239395805285	0.1823426432854621	0	0	3.9087407407407406	9.085466501614851	ITGAM;JAK1
Phenylalanine metabolism	1/17	0.11032337391025118	0.2037503752396531	0	0	9.120863970588236	20.1054803872225	HPD
Insulin secretion	2/86	0.11756506839470834	0.21518606268674295	0	0	3.4883597883597885	7.467752699680994	CREB3L4;PRKACA
GABAergic synapse	2/89	0.12434641340606571	0.2255842013118891	0	0	3.3675606641123883	7.02029967346544	GABRB3;PRKACA
Morphine addiction	2/91	0.12891889706243082	0.23072956102425898	0	0	3.291552226383687	6.742980994415039	GABRB3;PRKACA
Axon guidance	3/182	0.1294336561843404	0.23072956102425898	0	0	2.461936129408822	5.033642202674428	NRAS;PTCH1;EPHA1
Terpenoid backbone biosynthesis	1/22	0.14040833300105676	0.24786873809695456	0	0	6.947478991596639	13.639293794381585	DHDDS
Phosphatidylinositol signaling system	2/97	0.14286280257367737	0.24786873809695456	0	0	3.082729044834308	5.998591605942089	INPPL1;SYNJ2
Aldosterone synthesis and secretion	2/98	0.14521737323047415	0.24786873809695456	0	0	3.050462962962963	5.885940074806264	CREB3L4;PRKACA
mRNA surveillance pathway	2/98	0.14521737323047415	0.24786873809695456	0	0	3.050462962962963	5.885940074806264	DAZAP1;UPF3A
Mannose type O-glycan biosynthesis	1/23	0.14630301126698295	0.24786873809695456	0	0	6.63135026737968	12.745955140425728	POMT1
Mismatch repair	1/23	0.14630301126698295	0.24786873809695456	0	0	6.63135026737968	12.745955140425728	MSH3
Amoebiasis	2/102	0.15471485015711253	0.25997167444432845	0	0	2.9278518518518517	5.463873778039772	ITGAM;PRKACA
NF-kappa B signaling pathway	2/104	0.15950809433469024	0.26394490820093464	0	0	2.8701525054466233	5.268625898553727	ATM;LTBR
Focal adhesion	3/201	0.15965448105812632	0.26394490820093464	0	0	2.2235413839891454	4.079627639210258	CCND1;AKT1;SOS1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.16374735008097807	0.2652551102278326	0	0	5.834705882352941	10.557495291482919	PIGZ
Maturity onset diabetes of the young	1/26	0.16374735008097807	0.2652551102278326	0	0	5.834705882352941	10.557495291482919	PAX6
Parathyroid hormone synthesis, secretion and action	2/106	0.16432877560455972	0.2652551102278326	0	0	2.8146723646723646	5.0829777800563765	CREB3L4;PRKACA
TNF signaling pathway	2/112	0.17893937908653246	0.2843610287809237	0	0	2.6603367003367	4.577663161255457	CREB3L4;AKT1
Toxoplasmosis	2/112	0.17893937908653246	0.2843610287809237	0	0	2.6603367003367	4.577663161255457	AKT1;JAK1
Lipid and atherosclerosis	3/215	0.18316738070771557	0.28771035824654734	0	0	2.075225288651084	3.522393802959166	NRAS;AKT1;NFE2L2
Glutamatergic synapse	2/114	0.18385393624535462	0.28771035824654734	0	0	2.6125661375661378	4.424677701820865	GRIK4;PRKACA
Sphingolipid signaling pathway	2/119	0.1962233279824172	0.3047407745181479	0	0	2.5002849002849	4.071718560452774	NRAS;AKT1
Coronavirus disease	3/232	0.21285312344103657	0.3280818819955827	0	0	1.9195072671576614	2.9697712588310896	RPL22;IRF9;JAK1
Tyrosine metabolism	1/36	0.21937893133793554	0.3356170218229611	0	0	4.165546218487395	6.318945182020532	HPD
Oocyte meiosis	2/129	0.22124455392819692	0.3359639522613361	0	0	2.3022455526392536	3.472906590034246	PRKACA;CPEB2
Nicotine addiction	1/40	0.24058850686050348	0.3599227357833172	0	0	3.737556561085973	5.324774409818904	GABRB3
Yersinia infection	2/137	0.2414446453670924	0.3599227357833172	0	0	2.1649382716049383	3.076626346877486	AKT1;LCP2
Parkinson disease	3/249	0.24349380853972308	0.3599227357833172	0	0	1.7853112486348743	2.5220445079159637	PSMB6;PRKACA;NFE2L2
Ferroptosis	1/41	0.2458008927300703	0.3599227357833172	0	0	3.643933823529412	5.113289830471274	SLC3A2
Homologous recombination	1/41	0.2458008927300703	0.3599227357833172	0	0	3.643933823529412	5.113289830471274	ATM
Herpes simplex virus 1 infection	5/498	0.25611976769477396	0.37237271189665716	0	0	1.4882598807548097	2.0271738170086917	ZNF484;AKT1;TSC1;IRF9;JAK1
Cell adhesion molecules	2/148	0.2693409628138483	0.3853689054079923	0	0	2.000710299340436	2.624486118969795	ITGAM;ICAM3
Retrograde endocannabinoid signaling	2/148	0.2693409628138483	0.3853689054079923	0	0	2.000710299340436	2.624486118969795	GABRB3;PRKACA
Proteasome	1/46	0.27133484756185794	0.3853689054079923	0	0	3.238235294117647	4.22395936672437	PSMB6
Spliceosome	2/150	0.2744163372926703	0.3853689054079923	0	0	1.9734734734734736	2.551916007205564	TCERG1;PRPF8
Carbohydrate digestion and absorption	1/47	0.2763377029023164	0.3853689054079923	0	0	3.1676790281329925	4.0740520966305604	AKT1
Other types of O-glycan biosynthesis	1/47	0.2763377029023164	0.3853689054079923	0	0	3.1676790281329925	4.0740520966305604	POMT1
Phagosome	2/152	0.27949034061720723	0.3870323760241299	0	0	1.946962962962963	2.481964138668831	ITGAM;CANX
Intestinal immune network for IgA production	1/48	0.28130645867119686	0.3870323760241299	0	0	3.1001251564455568	3.9319216086160855	LTBR
Prion disease	3/273	0.2878190217966611	0.3933526631221035	0	0	1.6246268656716418	2.0233483032565744	PSMB6;CREB3L4;PRKACA
Vibrio cholerae infection	1/50	0.2911425929329805	0.39525981159775503	0	0	2.9732893157262907	3.668866926816198	PRKACA
Ovarian steroidogenesis	1/51	0.2960104282608464	0.39824364535379164	0	0	2.913676470588235	3.5469949209045577	PRKACA
Necroptosis	2/159	0.29722574506892746	0.39824364535379164	0	0	1.8594951639537627	2.256057321681777	IRF9;JAK1
Glycosaminoglycan biosynthesis	1/53	0.3056467657251325	0.4064736520081981	0	0	2.801329185520362	3.320486088836687	XYLT2
Hippo signaling pathway	2/163	0.30733373688424737	0.4064736520081981	0	0	1.8129284564067172	2.1389311206071255	CCND1;TEAD2
cGMP-PKG signaling pathway	2/167	0.3174145044032609	0.4171152141196698	0	0	1.7686195286195285	2.0295736351748017	CREB3L4;AKT1
Tight junction	2/169	0.3224428134082451	0.42102405572414164	0	0	1.7472610334885783	1.9776015491154755	CCND1;PRKACA
Legionellosis	1/57	0.32452834409284537	0.4210652565761601	0	0	2.6007090336134455	2.926792173115241	ITGAM
Cytokine-cytokine receptor interaction	3/295	0.3289804687646361	0.4241572081556629	0	0	1.5005367000613372	1.668232023147968	ACVR1;LTBR;ACVR2A
Notch signaling pathway	1/59	0.3337770947455803	0.4276519026427748	0	0	2.5107758620689653	2.755028882806623	EP300
Long-term depression	1/60	0.33835421663245324	0.428164286479339	0	0	2.4680957128614156	2.6745814229630755	NRAS
Viral myocarditis	1/60	0.33835421663245324	0.428164286479339	0	0	2.4680957128614156	2.6745814229630755	CCND1
Basal cell carcinoma	1/63	0.35189911774784177	0.4378305842036074	0	0	2.3483159392789372	2.452606392048319	PTCH1
Lysine degradation	1/63	0.35189911774784177	0.4378305842036074	0	0	2.3483159392789372	2.452606392048319	NSD1
NOD-like receptor signaling pathway	2/181	0.35240022631022055	0.4378305842036074	0	0	1.6291330436581832	1.6991657958010289	IRF9;JAK1
RNA transport	2/186	0.3647537308685711	0.45044888450636794	0	0	1.5844605475040259	1.597980532392461	UPF3A;KPNB1
Neutrophil extracellular trap formation	2/189	0.37212367419474945	0.45679852221511164	0	0	1.558803723509606	1.5409227209892165	ITGAM;AKT1
Adipocytokine signaling pathway	1/69	0.37816856748681427	0.45872518541299956	0	0	2.140462802768166	2.0814186437173	AKT1
Renin secretion	1/69	0.37816856748681427	0.45872518541299956	0	0	2.140462802768166	2.0814186437173	PRKACA
Adherens junction	1/71	0.3866879681857055	0.46630019692982133	0	0	2.079096638655462	1.9754270482442287	EP300
Gastric acid secretion	1/76	0.4074829124483796	0.484083661090731	0	0	1.94	1.7416471828555156	PRKACA
Pertussis	1/76	0.4074829124483796	0.484083661090731	0	0	1.94	1.7416471828555156	ITGAM
Pathways of neurodegeneration	4/475	0.4102704807075118	0.484083661090731	0	0	1.238254872850917	1.103209097226787	ATXN2L;PSMB6;NRAS;DNAH7
Neuroactive ligand-receptor interaction	3/341	0.41449498093208664	0.484083661090731	0	0	1.293274750507816	1.1389798475158222	GABRB3;CHRM4;GRIK4
Antigen processing and presentation	1/78	0.41560353342423734	0.484083661090731	0	0	1.8894194041252865	1.658954671828482	CANX
Synaptic vesicle cycle	1/78	0.41560353342423734	0.484083661090731	0	0	1.8894194041252865	1.658954671828482	AP2A2
Complement and coagulation cascades	1/85	0.44316530874453697	0.5132705553255937	0	0	1.7313550420168067	1.4089982385378543	ITGAM
Taste transduction	1/86	0.44699589850685556	0.5147986471567718	0	0	1.7108996539792387	1.3776264272740881	PRKACA
ECM-receptor interaction	1/88	0.4545787739505501	0.5194219776142996	0	0	1.671399594320487	1.3177047986537251	SV2A
Amyotrophic lateral sclerosis	3/364	0.4560778340027997	0.5194219776142996	0	0	1.2094513581676107	0.9495303382699832	ATXN2L;PSMB6;DNAH7
Bile secretion	1/90	0.4620584201871795	0.5233258350186288	0	0	1.6336748182419034	1.2613014254650008	PRKACA
Alzheimer disease	3/369	0.4649615670206431	0.5237204463694057	0	0	1.1926229508196722	0.9133112858947693	PSMB6;NRAS;AKT1
Th1 and Th2 cell differentiation	1/92	0.46943623234925846	0.5258711892437048	0	0	1.5976082740788624	1.208147818144373	JAK1
Salivary secretion	1/93	0.4730873814760886	0.5270810500141204	0	0	1.580163043478261	1.1827128005444403	PRKACA
Staphylococcus aureus infection	1/95	0.4803150174866205	0.5322409653230119	0	0	1.546386107634543	1.133985196435115	ITGAM
Dilated cardiomyopathy	1/96	0.48389184150633274	0.5333216532731087	0	0	1.530030959752322	1.110640087250758	PRKACA
Circadian entrainment	1/97	0.48744422583266184	0.5343639908860731	0	0	1.514016544117647	1.087941105369789	PRKACA
Inflammatory mediator regulation of TRP channels	1/98	0.4909723362006207	0.5353687708570598	0	0	1.4983323226197696	1.0658649103080529	PRKACA
Hematopoietic cell lineage	1/99	0.4944763372236363	0.5363367678880712	0	0	1.4829681872749099	1.0443892155035845	ITGAM
Viral protein interaction with cytokine and cytokine receptor	1/100	0.49795639252529783	0.5372687393036109	0	0	1.467914438502674	1.0234927306951356	LTBR
Shigellosis	2/246	0.5041642684444892	0.5390275493722528	0	0	1.1911961141469338	0.8157943926502706	AKT1;ATM
Chagas disease	1/102	0.5048453145340125	0.5390275493722528	0	0	1.4387012230634828	0.9833568962561355	AKT1
Protein digestion and absorption	1/103	0.508254502873238	0.5398558191140611	0	0	1.4245242214532872	0.9640794838440134	SLC3A2
